Область,2005,2010,2015,2018,2019,2020
Российская Федерация,"2277,2","1948,3","1561,7","1324,6","1254,7","1 188,2"
Центральный федеральный округ,"653,1","575,9","475,1","396,8","380,6","356,5"
Белгородская область,"55,5","49,7","43,9","35,7","33,7","32,1"
Брянская область,"46,8","45,1","45,5","43,3",43,43
Владимирская область,26,"20,4",15,"12,3","11,4","10,7"
Воронежская область,"97,5","96,6","81,6","68,2","61,5","54,7"
Ивановская область,12,"9,6","6,7","5,4","5,3",5
Калужская область,"28,5","18,5","13,5",12,"11,1","10,8"
Костромская область,"11,8","8,9","6,8","5,7","5,3",5
Курская область,"63,6","53,7","37,1","31,6",28,"24,6"
Липецкая область,"46,9","43,9","34,6","29,1","27,9","25,5"
Московская область,"52,6","46,9","34,7","32,1","31,7","30,1"
Орловская область,33,"27,2","20,7","15,5","15,7","14,8"
Рязанская область,"33,3","30,1","23,5","21,7","19,1","17,4"
Смоленская область,"24,4","15,5","12,3","9,8","9,3","8,8"
Тамбовская область,"43,6","39,2","36,6","24,4","24,8","22,6"
Тверская область,"21,9","17,7","17,2","14,3",14,"13,9"
Тульская область,"38,9","39,7","34,2","26,8","29,8",29
Ярославская область,"16,9","13,2","10,5","8,7","8,5",8
г. Москва,,,"0,7","0,4","0,4","0,4"
Северо-Западный федеральный округ,"121,8","90,6","74,1","60,4","59,2","56,2"
Республика Карелия,"6,7","4,6","2,9","2,3",2,"1,9"
Республика Коми,"8,7","6,5","4,9","3,8","3,5","3,2"
Архангельская область,"15,1","9,9","7,8","6,5","6,2",6
в том числе:,,,,,,
Ненецкий автономный округ,"0,2","0,1","0,1","0,1","0,1","0,1"
Архангельская область без автономного округа,"14,9","9,8","7,7","6,4","6,1","5,9"
Вологодская область,"21,7","16,4","12,7",11,11,"10,4"
Калининградская область,"8,3","8,3","8,3","6,7",7,"6,2"
Ленинградская область,"25,8",20,"16,1","11,3",11,"10,9"
Мурманская область,1,"0,8","0,6","0,4","0,4","0,5"
Новгородская область,"17,8","14,2","12,3","10,2","10,2","9,7"
Псковская область,"16,7","9,8","8,5","8,2","7,9","7,4"
Южный федеральный округ,"137,3","118,8","94,9","80,4","76,8","75,1"
Республика Адыгея,"3,3","2,9","2,2",2,"1,9","1,8"
Республика Калмыкия,"0,9","0,7","0,6","0,2","0,3","0,3"
Республика Крым,,,"6,2","4,3","4,1",4
Краснодарский край,"57,2","48,6","34,1","31,3","30,1","29,6"
Астраханская область,7,"9,9",13,"11,3","11,7","11,4"
Волгоградская область,"34,1","27,1",19,"14,5","11,6","11,1"
Ростовская область,"34,8","29,6","19,7","16,7","16,9","16,7"
г. Севастополь,,,"0,1","0,1","0,1","0,2"
Северо-Кавказский федеральный округ,"91,9","86,5",77,"64,4","61,9","58,5"
Республика Дагестан,"22,5","20,9","20,8","19,8",19,"19,1"
Республика Ингушетия,3,"3,2","5,9","3,1",3,"2,7"
Кабардино-Балкарская Республика,"12,5","12,5","10,1","8,4","8,3","7,7"
Карачаево-Черкесская Республика,"15,2","17,1","13,2","8,7","7,8","7,9"
Республика Северная Осетия – Алания,"6,2","7,9","6,2",5,"4,3","4,3"
Чеченская Республика,3,"3,2","3,9","5,3","5,8","4,2"
Ставропольский край,"29,7","21,8","16,8",14,"13,7","12,6"
Приволжский федеральный округ,"617,2","534,6",395,"329,6","311,9","294,4"
Республика Башкортостан,"95,4","81,5","62,9","51,2","48,4","45,1"
Республика Марий Эл,"21,7","16,7","12,8","11,8","11,9",12
Республика Мордовия,"34,7","25,1","20,1","17,9","16,9","16,5"
Республика Татарстан,"87,4","90,2","61,9","54,2","52,2","50,9"
Удмуртская Республика,"41,6","35,2","33,3",25,"23,4","20,1"
Чувашская Республика,"47,1","50,3","26,7","22,7","20,5","18,7"
Пермский край,"46,6","33,5","24,6","19,7","19,5","18,5"
Кировская область,"27,9","19,2","12,5","10,4","9,2",0
Нижегородская область,"50,6","56,9","41,6","36,3","35,1","32,9"
Оренбургская область,"28,8","16,1","10,1","8,2","7,3","7,2"
Пензенская область,"44,2","37,4","36,6","30,7","27,2","25,6"
Самарская область,"39,3","29,3","22,2","16,9","16,5","15,6"
Саратовская область,"25,3","20,5","11,4","9,2","8,9","8,4"
Ульяновская область,"26,6","22,5","18,1","15,5","14,7","13,9"
Уральский федеральный округ,"172,5","145,8","130,7","116,5","110,9","106,3"
Курганская область,"20,5",19,"15,1","12,8","12,9","12,5"
Свердловская область,"52,3","46,4","51,1","47,6","45,9","44,1"
Тюменская область,"33,2","29,2","26,3","24,1","22,9","21,5"
в том числе:,,,,,,
Ханты-Мансийский автономный округ – Югра,6,"4,8","4,3","4,3","4,2","4,2"
Ямало-Ненецкий автономный округ,"0,1","0,1","0,1","0,1","0,1","0,1"
Тюменская область без автономных округов,"27,1","24,3","21,9","19,7","18,7","17,3"
